reaction_id,substrate_name,substrate_class,leaving_group,reagent,reagent_role,bulky_base,solvent,solvent_type,temperature,expected_mechanism,major_product,minor_product,reasoning,confidence,source_notes
RXN001,2-bromopentane,secondary,Br,NaOCH3,strong nucleophile strong base,no,methanol,polar protic,heat,SN2/E2 competition,2-pentene,"1-pentene, 2-methoxypentane","Secondary 2-bromopentane allows both SN2 and E2 with comparable accessibility. NaOCH3 is a small, strong base and good nucleophile, capable of driving either pathway. Methanol is polar protic and hydrogen-bonds to methoxide, slowing SN2 more than E2. Heat additionally favors elimination, so the Zaitsev alkene 2-pentene is the major E2 product while 2-methoxypentane appears as a minor SN2 product.",high,lecture
RXN002,bromomethane,methyl,Br,NaOH,strong nucleophile strong base,no,water,polar protic,room temp,SN2,methanol,none,"Methyl substrate has no steric hindrance and no β-hydrogens, so SN2 is the only viable pathway and elimination is structurally impossible. NaOH is a strong nucleophile that displaces bromide via backside attack. Water is polar protic but cannot suppress SN2 on a methyl carbon since steric and electronic factors overwhelmingly favor it. Room temperature is sufficient.",high,
RXN003,1-bromobutane,primary,Br,NaCN,strong nucleophile weak base,no,DMSO,polar aprotic,room temp,SN2,pentanenitrile,none,"Primary, unhindered substrate is ideal for backside attack and cyanide's poor basicity removes E2 as a competing pathway. NaCN is a powerful carbon nucleophile that cleanly displaces bromide. Polar aprotic DMSO leaves cyanide poorly solvated and therefore highly reactive. Room temperature is optimal for clean SN2.",high,
RXN004,2-bromo-2-methylbutane,tertiary,Br,NaOtBu,strong bulky base,yes,ethanol,polar protic,heat,E2,2-methyl-1-butene,2-methyl-2-butene,"Tertiary substrate blocks SN2 entirely and presents β-hydrogens on multiple carbons for elimination. NaOtBu is a strong, sterically demanding base that preferentially abstracts the less hindered β-H, yielding the Hofmann (less substituted) alkene as the major product over the Zaitsev. Polar protic ethanol is compatible with the E2 transition state. Heat further drives elimination over substitution.",high,
RXN005,2-bromo-2-methylpropane,tertiary,Br,methanol,weak nucleophile weak base,no,methanol,polar protic,room temp,SN1/E1,2-methoxy-2-methylpropane,2-methylpropene,"Tertiary substrate ionizes readily to a stabilized carbocation, locking out bimolecular pathways. Methanol acts as both weak nucleophile and weak base, so only SN1/E1 are accessible. Polar protic methanol stabilizes both the carbocation intermediate and the departing bromide. At room temperature SN1 substitution dominates over E1 elimination, leaving the alkene as a minor product.",medium,
RXN006,2-bromobutane,secondary,Br,NaOCH3,strong nucleophile strong base,no,methanol,polar protic,room temp,SN2/E2,2-methoxybutane,2-butene,"Secondary substrate sits at the SN2/E2 crossroads where reagent identity decides the outcome. NaOCH3 is a strong nucleophile and strong base, but the small, unhindered methoxide favors backside attack over β-H abstraction. Polar protic methanol modestly slows SN2 without reversing the preference. At room temperature substitution edges out elimination, leaving 2-butene (mixed E/Z) as the minor product.",medium,
RXN007,2-iodo-2-methylpropane,tertiary,I,ethanol,weak nucleophile weak base,no,ethanol,polar protic,heat,E1,2-methylpropene,2-ethoxy-2-methylpropane,"Tertiary substrate ionizes readily to a stabilized carbocation, and iodide is an excellent leaving group. Ethanol is a weak nucleophile and weak base, so only unimolecular pathways are accessible. Polar protic ethanol stabilizes both the cation and the departing iodide. Heat shifts the SN1/E1 partition toward elimination, making the alkene the major product.",medium,
RXN008,1-iodopropane,primary,I,NaOH,strong nucleophile strong base,no,DMSO,polar aprotic,room temp,SN2,1-propanol,none,"Primary, unhindered substrate strongly favors backside attack. Hydroxide is a strong nucleophile, and despite its basicity, primary geometry suppresses E2. Polar aprotic DMSO leaves hydroxide poorly solvated and highly reactive. Room temperature avoids the thermal bias toward elimination, giving clean SN2.",high,
RXN009,2-bromohexane,secondary,Br,NaOEt,strong nucleophile strong base,no,ethanol,polar protic,heat,E2,2-hexene,1-hexene,"Secondary substrate is balanced between SN2 and E2, and heat tilts the outcome toward elimination. Ethoxide is a strong base whose basicity dominates at elevated temperature. Polar protic ethanol is compatible with the concerted E2 transition state. Zaitsev's rule predicts 2-hexene as the more substituted, more stable alkene.",high,
RXN010,cyclohexyl tosylate,secondary,OTs,NaCN,strong nucleophile weak base,no,DMSO,polar aprotic,room temp,SN2,cyclohexanecarbonitrile,none,"Secondary cyclohexyl carbon can undergo SN2 with a strong nucleophile, and tosylate is an outstanding leaving group that accelerates displacement. Cyanide is a powerful nucleophile but a weak base, eliminating E2 competition. Polar aprotic DMSO maximizes cyanide reactivity. Room temperature further suppresses elimination.",medium,
RXN011,(1-bromoethyl)benzene,secondary,Br,ethanol,weak nucleophile weak base,no,ethanol,polar protic,room temp,SN1,(1-ethoxyethyl)benzene,styrene,"Although formally secondary, the benzylic position generates a resonance-stabilized carbocation, enabling facile ionization. Ethanol is a weak nucleophile/base, ruling out bimolecular pathways. Polar protic ethanol stabilizes the cation and the leaving bromide. At room temperature SN1 substitution dominates, with styrene from minor E1 elimination.",medium,
RXN012,2-methylpropene,alkene,none,HBr,electrophile,no,dichloromethane,polar aprotic,room temp,electrophilic addition,2-bromo-2-methylpropane,1-bromo-2-methylpropane,"Disubstituted alkene generates a stabilized tertiary carbocation upon protonation, which dictates Markovnikov regiochemistry. HBr is a strong electrophile that delivers H+ to the less substituted carbon and Br- to the more substituted one. Polar aprotic dichloromethane dissolves the reagents without competing as a nucleophile. Room temperature is sufficient for fast electrophilic addition.",high,
RXN013,1-pentene,alkene,none,HBr (ROOR peroxide),radical initiator,no,dichloromethane,polar aprotic,room temp,radical addition,1-bromopentane,2-bromopentane,"Terminal alkene undergoes radical chain addition once peroxide initiates. Bromine radical adds to the terminal carbon to give the more stable secondary carbon radical, which abstracts H to deliver the anti-Markovnikov 1-bromopentane. Polar aprotic dichloromethane supports radical propagation without quenching. Room temperature is adequate once the chain is initiated.",high,
RXN014,2-methyl-2-butene,alkene,none,H2O / H2SO4 cat,Brønsted acid catalyst,no,water,polar protic,low,acid-catalyzed hydration,2-methyl-2-butanol,3-methyl-2-butanol,"Trisubstituted alkene protonates to a tertiary carbocation, locking in Markovnikov selectivity. Catalytic H2SO4 activates the alkene without consuming water as nucleophile. Polar protic water solvates the cation and serves as the nucleophile. Low temperature suppresses the reverse E1 dehydration.",high,
RXN015,1-methylcyclohexene,alkene,none,BH3·THF then H2O2/NaOH,electrophilic borane / oxidative workup,no,THF,polar aprotic,low,hydroboration-oxidation,trans-2-methylcyclohexanol,1-methylcyclohexanol,"Trisubstituted alkene undergoes concerted syn addition of B-H, with boron preferring the less hindered carbon (anti-Markovnikov). Oxidative H2O2/NaOH workup replaces B with OH while retaining stereochemistry, giving the trans alcohol. Polar aprotic THF coordinates and stabilizes BH3. Low temperature maximizes regio- and stereoselectivity.",high,
RXN016,cyclohexene,alkene,none,Br2,electrophile,no,dichloromethane,polar aprotic,room temp,halogenation (anti addition),"trans-1,2-dibromocyclohexane",none,Symmetric alkene attacks Br2 to form a cyclic bromonium ion intermediate that locks in stereochemistry. Backside attack by Br- on the bromonium gives strict anti addition and the trans dibromide. Polar aprotic CH2Cl2 dissolves Br2 without acting as a nucleophile. Room temperature is sufficient for clean addition.,high,
RXN017,cyclohexene,alkene,none,O3 then Zn/AcOH,oxidative cleavage,no,dichloromethane,polar aprotic,low,ozonolysis,hexanedial,hexanedioic acid,"The ring alkene reacts with ozone to form a molozonide that rearranges to an ozonide, cleaving the C=C bond. Reductive Zn/AcOH workup stops at the dialdehyde rather than over-oxidizing. Polar aprotic CH2Cl2 stabilizes the ozonide intermediates. Low temperature prevents premature ozonide decomposition.",high,
RXN018,cis-2-butene,alkene,none,H2 / Pd-C,catalytic reducer,no,ethanol,polar protic,room temp,catalytic hydrogenation (syn),butane,none,Disubstituted alkene adsorbs on the metal surface where two H atoms are delivered syn from the same face. Pd/C is the standard low-pressure hydrogenation catalyst for alkenes. Polar protic ethanol dissolves both substrate and H2. Room temperature under H2 atmosphere is sufficient.,high,
RXN019,2-methyl-2-butene,alkene,none,mCPBA,oxidizer,no,dichloromethane,polar aprotic,low,epoxidation,"2,3-epoxy-2-methylbutane",none,Electron-rich trisubstituted alkene attacks the electrophilic O-O oxygen of mCPBA via a concerted butterfly transition state. The peracid delivers a single oxygen syn to give the epoxide with retention of alkene stereochemistry. Polar aprotic CH2Cl2 is the standard inert solvent for peracids. Low temperature prevents acid-catalyzed epoxide ring opening.,high,
RXN020,cis-2-butene,alkene,none,OsO4 / NaHSO3,oxidizer,no,aqueous acetone,polar protic,room temp,syn dihydroxylation,"meso-2,3-butanediol",none,Symmetric cis alkene reacts with OsO4 in a concerted syn fashion via an osmate ester. Reductive NaHSO3 workup hydrolyzes the ester to release the syn diol with retention. The cis geometry of the alkene plus syn delivery yields the meso diol. Aqueous acetone dissolves both alkene and Os reagent at room temperature.,high,
RXN021,1-pentyne,alkyne,none,H2O / H2SO4 / HgSO4,electrophilic catalyst,no,water,polar protic,room temp,alkyne hydration (Markovnikov),2-pentanone,pentanal,"Terminal alkyne is activated by Hg(II) to form a Markovnikov-oriented vinyl cation, which water attacks to give an enol. Tautomerization under acid catalysis converts the enol to the more stable methyl ketone. Polar protic water provides nucleophile and proton source. Room temperature drives the keto–enol equilibrium toward the ketone.",high,
RXN022,2-butyne,alkyne,none,H2 / Lindlar,poisoned catalyst reducer,no,ethanol,polar protic,room temp,partial hydrogenation (syn),cis-2-butene,butane,"Internal alkyne adsorbs on the lead-poisoned palladium surface where H2 is delivered syn, stopping cleanly at the cis-alkene. Lindlar's catalyst is deactivated to prevent further reduction to the alkane. Polar protic ethanol is a standard heterogeneous reaction solvent. Room temperature gives the kinetic cis-alkene with minimal over-reduction.",high,
RXN023,2-pentyne,alkyne,none,Na / NH3(l),dissolving metal reducer,no,liquid ammonia,polar protic,low,dissolving metal reduction (anti),trans-2-pentene,none,"Internal alkyne accepts a sodium-donated electron to form a vinyl radical anion, which protonates from ammonia and accepts a second electron, producing a trans-vinyl anion that protonates with retention. The two H atoms are delivered anti, giving the trans-alkene exclusively. Liquid ammonia is the canonical solvent for this single-electron chemistry. Low temperature stabilizes the radical anion intermediates.",high,
RXN024,1-bromobutane,primary,Br,NaC≡CH,strong nucleophile strong base,no,liquid ammonia,polar protic,low,SN2,1-hexyne,none,"Primary, unhindered alkyl halide is ideal for backside SN2 attack and avoids E2 because of geometry. Sodium acetylide is a powerful carbon nucleophile that displaces bromide cleanly. Liquid ammonia keeps the acetylide solvated, stable, and nucleophilic. Low temperature suppresses any competing elimination.",high,
RXN025,cyclohexene,allylic,H,NBS / peroxide,radical halogenating agent,no,CCl4,polar aprotic,heat,radical halogenation (allylic),3-bromocyclohexene,"trans-1,2-dibromocyclohexane",Cyclohexene presents weak allylic C-H bonds whose abstraction yields a resonance-stabilized allylic radical. NBS releases a low steady-state concentration of Br2 that suppresses ionic addition and favors radical substitution. Inert CCl4 supports the radical chain without quenching. Heat propagates the chain and drives selective allylic bromination.,high,
RXN026,benzene,aromatic,H,Br2 / FeBr3,Lewis-acid-activated electrophile,no,dichloromethane,polar aprotic,room temp,EAS,bromobenzene,"1,2-dibromobenzene","Aromatic π-system is electron-rich enough to attack a Lewis-acid-activated Br+. FeBr3 polarizes Br2 to generate Br+/FeBr4-, the active electrophile. The Wheland intermediate loses H+ to restore aromaticity. Polar aprotic CH2Cl2 keeps the catalyst active and gives clean monosubstitution at room temperature.",high,
RXN027,toluene,aromatic,H,HNO3 / H2SO4,electrophile (nitronium),no,sulfuric acid,polar protic,room temp,EAS,4-nitrotoluene,2-nitrotoluene,Toluene's methyl group is weakly activating and ortho/para-directing through hyperconjugation. H2SO4 protonates HNO3 to generate the strong nitronium electrophile (NO2+). Polar protic H2SO4 stabilizes the cationic σ-complex on the way to product. The para isomer dominates over ortho because of reduced steric clash with the methyl group at room temperature.,high,
RXN028,benzene,aromatic,H,acetyl chloride / AlCl3,Lewis-acid-activated electrophile,no,dichloromethane,polar aprotic,room temp,EAS (Friedel-Crafts acylation),acetophenone,none,"Benzene attacks an AlCl3-activated acylium cation (R-C+=O) to form a σ-complex that loses H+ to restore aromaticity. The product ketone is electron-poor and deactivated, so over-acylation does not occur — a key advantage over Friedel-Crafts alkylation. Polar aprotic CH2Cl2 keeps the Lewis acid active. Room temperature gives clean monoacylation.",high,
RXN029,2-butanone,ketone,none,NaBH4,hydride reducer,no,methanol,polar protic,room temp,nucleophilic addition (carbonyl reduction),2-butanol,none,"The polarized C=O carbon is electrophilic and accepts hydride from NaBH4, forming an alkoxide intermediate. Methanol then protonates the alkoxide to deliver the secondary alcohol. NaBH4 is mild enough to tolerate protic solvents and is selective for aldehydes/ketones. Room temperature is standard for ketone reduction.",high,
RXN030,benzaldehyde,aldehyde,none,CH3MgBr,organometallic nucleophile,no,diethyl ether,polar aprotic,low,nucleophilic addition (Grignard),1-phenylethanol,none,"Aldehyde carbonyl carbon is highly electrophilic and sterically open. CH3MgBr delivers a methyl carbanion that adds to the carbonyl carbon, producing a magnesium alkoxide. Aqueous workup protonates the alkoxide to the secondary benzylic alcohol. Polar aprotic diethyl ether stabilizes the Grignard via Lewis basicity, and low temperature suppresses side protonation by trace moisture.",high,